ts,open,high,low,close,volume
1727740800,167.69000244140625,169.16000366210938,164.5800018310547,166.99000549316406,28338100.0
1727827200,166.4199981689453,167.52000427246094,164.72999572753906,165.86000061035156,17760200.0
1727913600,164.41000366210938,166.63999938964844,163.9199981689453,165.86000061035156,15073100.0
1728000000,168.05999755859375,168.22999572753906,165.47999572753906,167.05999755859375,19047400.0
1728259200,167.72000122070312,168.47999572753906,162.75,162.97999572753906,22463100.0
1728345600,163.94000244140625,164.72999572753906,162.8699951171875,164.3800048828125,23072700.0
1728432000,163.4499969482422,164.83999633789062,159.74000549316406,161.86000061035156,31181800.0
1728518400,160.8699951171875,163.07000732421875,160.39999389648438,162.0800018310547,14144100.0
1728604800,162.1300048828125,163.89999389648438,161.24000549316406,163.24000549316406,15344300.0
1728864000,163.63999938964844,166.22999572753906,163.39999389648438,164.9600067138672,19016100.0
1728950400,165.7899932861328,167.67999267578125,164.6300048828125,165.4600067138672,20247200.0
1729036800,164.52999877929688,165.8000030517578,163.74000549316406,165.16000366210938,16406000.0
1729123200,165.72999572753906,166.3699951171875,162.75999450683594,162.92999267578125,21453400.0
1729209600,163.19000244140625,164.7100067138672,163.0800018310547,163.4199981689453,19757700.0
1729468800,162.9499969482422,164.5,162.6199951171875,164.07000732421875,20946500.0
1729555200,162.97999572753906,165.77000427246094,162.97999572753906,165.13999938964844,16568100.0
1729641600,164.75999450683594,165.82000732421875,161.92999267578125,162.77999877929688,18280500.0
1729728000,162.8300018310547,163.3300018310547,161.00999450683594,162.72000122070312,22412500.0
1729814400,163.6699981689453,165.58999633789062,163.4199981689453,165.27000427246094,19828900.0
1730073600,168.75,168.75,163.9499969482422,166.72000122070312,32138600.0
1730160000,167.72999572753906,170.3800048828125,167.08999633789062,169.67999267578125,42169000.0
1730246400,180.67999267578125,182.02000427246094,174.05999755859375,174.4600067138672,68890800.0
1730332800,173.1300048828125,176.82000732421875,171.0,171.11000061035156,44769000.0
1730419200,170.07000732421875,172.32000732421875,168.8800048828125,171.2899932861328,31796500.0
1730678400,169.92999267578125,170.72999572753906,168.00999450683594,169.24000549316406,21492700.0
1730764800,169.42999267578125,170.52999877929688,168.83999633789062,169.74000549316406,18242100.0
1730851200,173.8000030517578,176.94000244140625,173.5,176.50999450683594,33695500.0
1730937600,177.41000366210938,181.0800018310547,177.19000244140625,180.75,25352900.0
1731024000,180.64999389648438,180.89999389648438,178.0800018310547,178.35000610351562,22006200.0
1731283200,178.5800018310547,180.5500030517578,178.47000122070312,180.35000610351562,17450400.0
1731369600,179.82000732421875,182.49000549316406,179.38999938964844,181.6199951171875,25134900.0
1731456000,180.4600067138672,180.9600067138672,178.5399932861328,178.8800048828125,23184000.0
1731542400,178.27999877929688,178.82000732421875,174.32000732421875,175.5800018310547,31007500.0
1731628800,173.72999572753906,174.13999938964844,171.22000122070312,172.49000549316406,32504600.0
1731888000,173.4199981689453,175.44000244140625,172.89999389648438,175.3000030517578,20135300.0
1731974400,173.72000122070312,178.8699951171875,173.55999755859375,178.1199951171875,23434900.0
1732060800,177.33999633789062,177.67999267578125,173.77999877929688,175.97999572753906,18997100.0
1732147200,173.89999389648438,174.1300048828125,163.6999969482422,167.6300048828125,59734400.0
1732233600,165.85000610351562,166.4600067138672,163.89999389648438,164.75999450683594,38604600.0
1732492800,166.08999633789062,168.6300048828125,165.61000061035156,167.64999389648438,33135300.0
1732579200,167.6300048828125,169.82000732421875,167.5800018310547,169.1199951171875,20486700.0
1732665600,169.0,169.47999572753906,168.02000427246094,169.22999572753906,19266500.0
1732838400,168.5,169.42999267578125,167.16000366210938,168.9499969482422,14257200.0
1733097600,168.77000427246094,172.0800018310547,168.57000732421875,171.49000549316406,23789100.0
1733184000,171.49000549316406,172.67999267578125,170.85000610351562,171.33999633789062,22248700.0
1733270400,171.14999389648438,174.91000366210938,171.05999755859375,174.3699951171875,31615100.0
1733356800,175.36000061035156,176.05999755859375,172.3300018310547,172.63999938964844,21356200.0
1733443200,172.02999877929688,175.0800018310547,171.86000061035156,174.7100067138672,21462400.0
1733702400,173.9600067138672,176.25999450683594,173.64999389648438,175.3699951171875,25389600.0
